Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-05 09:30:00-04:00,67.25,68.5989990234375,67.19999694824219,68.5009994506836,68.5009994506836,365914,0.0,0.0
2024-09-05 10:30:00-04:00,68.49000549316406,68.7255630493164,67.70613861083984,67.73454284667969,67.73454284667969,194777,0.0,0.0
2024-09-05 11:30:00-04:00,67.76599884033203,68.2249984741211,67.5999984741211,68.16799926757812,68.16799926757812,168086,0.0,0.0
2024-09-05 12:30:00-04:00,68.19725036621094,68.30599975585938,68.02100372314453,68.03300476074219,68.03300476074219,136083,0.0,0.0
2024-09-05 13:30:00-04:00,68.04199981689453,68.52886962890625,68.01499938964844,68.44599914550781,68.44599914550781,138465,0.0,0.0
2024-09-05 14:30:00-04:00,68.4739990234375,68.5469970703125,68.13999938964844,68.3489990234375,68.3489990234375,168608,0.0,0.0
2024-09-05 15:30:00-04:00,68.32600402832031,68.55598449707031,68.18900299072266,68.38499450683594,68.38499450683594,262028,0.0,0.0
2024-09-06 09:30:00-04:00,68.18599700927734,68.31517791748047,66.56965637207031,66.60549926757812,66.60549926757812,594767,0.0,0.0
2024-09-06 10:30:00-04:00,66.57679748535156,66.87899780273438,66.23400115966797,66.43800354003906,66.43800354003906,457783,0.0,0.0
2024-09-06 11:30:00-04:00,66.47999572753906,66.66999816894531,66.30900573730469,66.49600219726562,66.49600219726562,231157,0.0,0.0
2024-09-06 12:30:00-04:00,66.4990005493164,66.64899444580078,66.32943725585938,66.42399597167969,66.42399597167969,173984,0.0,0.0
2024-09-06 13:30:00-04:00,66.36000061035156,66.56500244140625,66.35050201416016,66.48899841308594,66.48899841308594,210803,0.0,0.0
2024-09-06 14:30:00-04:00,66.50450134277344,66.77999877929688,66.40900421142578,66.74250030517578,66.74250030517578,263210,0.0,0.0
2024-09-06 15:30:00-04:00,66.73400115966797,66.8919906616211,66.46199798583984,66.61699676513672,66.61699676513672,375146,0.0,0.0
2024-09-09 09:30:00-04:00,67.4000015258789,68.30000305175781,67.28099822998047,67.6604995727539,67.6604995727539,596503,0.0,0.0
2024-09-09 10:30:00-04:00,67.57499694824219,67.6259994506836,67.21400451660156,67.31700134277344,67.31700134277344,177675,0.0,0.0
2024-09-09 11:30:00-04:00,67.32099914550781,67.66899871826172,67.28300476074219,67.66799926757812,67.66799926757812,142471,0.0,0.0
2024-09-09 12:30:00-04:00,67.65299987792969,68.0,67.62999725341797,67.86000061035156,67.86000061035156,129237,0.0,0.0
2024-09-09 13:30:00-04:00,67.86000061035156,67.88999938964844,67.43400573730469,67.44550323486328,67.44550323486328,144234,0.0,0.0
2024-09-09 14:30:00-04:00,67.4010009765625,67.53599548339844,67.36801147460938,67.5094985961914,67.5094985961914,133750,0.0,0.0
2024-09-09 15:30:00-04:00,67.5094985961914,67.61699676513672,67.36397552490234,67.56199645996094,67.56199645996094,316174,0.0,0.0
2024-09-10 09:30:00-04:00,67.68699645996094,68.05899047851562,67.27000427246094,67.50999450683594,67.50999450683594,289149,0.0,0.0
2024-09-10 10:30:00-04:00,67.51100158691406,67.5270004272461,66.94499969482422,67.21800231933594,67.21800231933594,191515,0.0,0.0
