Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-05 09:30:00-04:00,157.83999633789062,160.91000366210938,157.83999633789062,160.23500061035156,160.23500061035156,4340202,0.0,0.0
2024-09-05 10:30:00-04:00,160.24000549316406,160.72500610351562,158.49000549316406,158.55999755859375,158.55999755859375,1803450,0.0,0.0
2024-09-05 11:30:00-04:00,158.55999755859375,159.00999450683594,157.94000244140625,158.19149780273438,158.19149780273438,1222248,0.0,0.0
2024-09-05 12:30:00-04:00,158.19000244140625,158.42999267578125,157.86000061035156,157.8905029296875,157.8905029296875,909726,0.0,0.0
2024-09-05 13:30:00-04:00,157.89500427246094,159.1199951171875,157.89500427246094,158.58999633789062,158.58999633789062,900245,0.0,0.0
2024-09-05 14:30:00-04:00,158.5800018310547,159.10000610351562,158.02999877929688,158.35000610351562,158.35000610351562,1192533,0.0,0.0
2024-09-05 15:30:00-04:00,158.35000610351562,158.66000366210938,157.89999389648438,158.58999633789062,158.58999633789062,1624635,0.0,0.0
2024-09-06 09:30:00-04:00,159.0,159.22000122070312,155.25999450683594,155.2899932861328,155.2899932861328,3182750,0.0,0.0
2024-09-06 10:30:00-04:00,155.27999877929688,155.44000244140625,153.8000030517578,153.83999633789062,153.83999633789062,2953591,0.0,0.0
2024-09-06 11:30:00-04:00,153.8699951171875,154.14500427246094,152.80999755859375,152.89500427246094,152.89500427246094,2021090,0.0,0.0
2024-09-06 12:30:00-04:00,152.89999389648438,153.41000366210938,152.80499267578125,153.09010314941406,153.09010314941406,1372502,0.0,0.0
2024-09-06 13:30:00-04:00,153.08999633789062,153.1699981689453,152.6199951171875,152.9600067138672,152.9600067138672,1622261,0.0,0.0
2024-09-06 14:30:00-04:00,152.97000122070312,153.30999755859375,152.6699981689453,152.91009521484375,152.91009521484375,3306291,0.0,0.0
2024-09-06 15:30:00-04:00,152.9199981689453,152.99000549316406,151.93499755859375,152.11000061035156,152.11000061035156,4026065,0.0,0.0
2024-09-09 09:30:00-04:00,153.5800018310547,154.58999633789062,151.5749969482422,151.67379760742188,151.67379760742188,5063921,0.2,0.0
2024-09-09 10:30:00-04:00,151.6699981689453,151.6699981689453,149.1199951171875,149.42999267578125,149.42999267578125,4766878,0.0,0.0
2024-09-09 11:30:00-04:00,149.4199981689453,150.52999877929688,149.28050231933594,150.51499938964844,150.51499938964844,2504933,0.0,0.0
2024-09-09 12:30:00-04:00,150.52000427246094,151.0500030517578,150.47000122070312,150.5749969482422,150.5749969482422,2001186,0.0,0.0
2024-09-09 13:30:00-04:00,150.5789031982422,150.625,149.57000732421875,149.72000122070312,149.72000122070312,2377939,0.0,0.0
2024-09-09 14:30:00-04:00,149.72000122070312,149.88999938964844,148.58929443359375,148.66000366210938,148.66000366210938,3417927,0.0,0.0
2024-09-09 15:30:00-04:00,148.6699981689453,149.63999938964844,148.2001953125,149.55999755859375,149.55999755859375,3883749,0.0,0.0
2024-09-10 09:30:00-04:00,152.05999755859375,152.3000030517578,150.41000366210938,151.16000366210938,151.16000366210938,5644099,0.0,0.0
2024-09-10 10:30:00-04:00,150.75,151.1699981689453,149.99000549316406,150.85000610351562,150.85000610351562,1735103,0.0,0.0
2024-09-10 11:30:00-04:00,150.86000061035156,150.99000549316406,149.54269409179688,150.06500244140625,150.06500244140625,1756964,0.0,0.0
2024-09-10 12:30:00-04:00,150.0500030517578,150.91000366210938,149.99000549316406,150.57000732421875,150.57000732421875,1410885,0.0,0.0
2024-09-10 13:30:00-04:00,150.56500244140625,151.36500549316406,150.49000549316406,151.33009338378906,151.33009338378906,1660795,0.0,0.0
2024-09-10 14:30:00-04:00,151.3300018310547,151.6300048828125,150.97000122070312,151.08599853515625,151.08599853515625,1389575,0.0,0.0
2024-09-10 15:30:00-04:00,151.08999633789062,151.24000549316406,149.8300018310547,149.9199981689453,149.9199981689453,2524263,0.0,0.0
2024-09-11 09:30:00-04:00,151.0,151.6699981689453,149.3000030517578,149.4250030517578,149.4250030517578,3285636,0.0,0.0
2024-09-11 10:30:00-04:00,149.38999938964844,149.8699951171875,148.72000122070312,149.52999877929688,149.52999877929688,1799867,0.0,0.0
2024-09-11 11:30:00-04:00,149.52000427246094,150.6699981689453,149.38929748535156,150.5399932861328,150.5399932861328,1635008,0.0,0.0
