Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-05 09:30:00-04:00,138.5,141.7100067138672,137.8699951171875,140.9290008544922,140.9290008544922,7076542,0.0,0.0
2024-09-05 10:30:00-04:00,140.9600067138672,141.1999969482422,138.6439971923828,138.8699951171875,138.8699951171875,3612808,0.0,0.0
2024-09-05 11:30:00-04:00,138.89999389648438,140.42999267578125,138.7100067138672,140.2899932861328,140.2899932861328,2514119,0.0,0.0
2024-09-05 12:30:00-04:00,140.27000427246094,140.3300018310547,138.97000122070312,138.97999572753906,138.97999572753906,1903619,0.0,0.0
2024-09-05 13:30:00-04:00,139.0,140.2989959716797,138.94500732421875,139.55999755859375,139.55999755859375,2047883,0.0,0.0
2024-09-05 14:30:00-04:00,139.5290985107422,139.8699951171875,138.4499969482422,139.0449981689453,139.0449981689453,2076872,0.0,0.0
2024-09-05 15:30:00-04:00,139.0500030517578,139.47999572753906,138.47999572753906,139.47999572753906,139.47999572753906,2648060,0.0,0.0
2024-09-06 09:30:00-04:00,138.5,139.10499572753906,135.02000427246094,135.02000427246094,135.02000427246094,8745894,0.0,0.0
2024-09-06 10:30:00-04:00,135.00999450683594,135.49929809570312,132.72999572753906,132.8699951171875,132.8699951171875,7501352,0.0,0.0
2024-09-06 11:30:00-04:00,132.91000366210938,133.47000122070312,132.110107421875,132.58999633789062,132.58999633789062,4566633,0.0,0.0
2024-09-06 12:30:00-04:00,132.61000061035156,134.1591033935547,132.5,133.44000244140625,133.44000244140625,3770082,0.0,0.0
2024-09-06 13:30:00-04:00,133.4499969482422,133.94000244140625,132.83999633789062,133.11000061035156,133.11000061035156,2538722,0.0,0.0
2024-09-06 14:30:00-04:00,133.11380004882812,134.69000244140625,132.89999389648438,134.4600067138672,134.4600067138672,3481913,0.0,0.0
2024-09-06 15:30:00-04:00,134.47959899902344,134.69000244140625,133.86000061035156,134.39999389648438,134.39999389648438,3432923,0.0,0.0
2024-09-09 09:30:00-04:00,136.05999755859375,137.41319274902344,134.86000061035156,136.41029357910156,136.41029357910156,6488294,0.0,0.0
2024-09-09 10:30:00-04:00,135.83999633789062,136.5,135.2899932861328,136.31500244140625,136.31500244140625,3492738,0.0,0.0
2024-09-09 11:30:00-04:00,136.35000610351562,137.38999938964844,136.0,137.27569580078125,137.27569580078125,2533335,0.0,0.0
2024-09-09 12:30:00-04:00,137.27000427246094,137.69000244140625,137.02999877929688,137.625,137.625,2573895,0.0,0.0
2024-09-09 13:30:00-04:00,137.6300048828125,137.74989318847656,136.92999267578125,137.17999267578125,137.17999267578125,2543239,0.0,0.0
2024-09-09 14:30:00-04:00,137.16000366210938,138.22000122070312,136.72000122070312,138.1999053955078,138.1999053955078,2725419,0.0,0.0
2024-09-09 15:30:00-04:00,138.17999267578125,138.44500732421875,137.13999938964844,138.22999572753906,138.22999572753906,3127958,0.0,0.0
2024-09-10 09:30:00-04:00,139.02999877929688,139.67640686035156,137.25999450683594,139.2100067138672,139.2100067138672,7400870,0.0,0.0
2024-09-10 10:30:00-04:00,139.1300048828125,139.2563934326172,137.9600067138672,138.78500366210938,138.78500366210938,2738722,0.0,0.0
2024-09-10 11:30:00-04:00,138.82000732421875,138.9550018310547,137.25,137.85000610351562,137.85000610351562,2671285,0.0,0.0
2024-09-10 12:30:00-04:00,137.86000061035156,140.94000244140625,137.81300354003906,140.5186004638672,140.5186004638672,5815040,0.0,0.0
2024-09-10 13:30:00-04:00,140.5050048828125,142.13499450683594,140.4600067138672,141.76980590820312,141.76980590820312,6097199,0.0,0.0
2024-09-10 14:30:00-04:00,141.77000427246094,142.65750122070312,141.6199951171875,142.64999389648438,142.64999389648438,3499745,0.0,0.0
2024-09-10 15:30:00-04:00,142.63999938964844,143.0800018310547,142.4499969482422,142.85000610351562,142.85000610351562,4604983,0.0,0.0
2024-09-11 09:30:00-04:00,145.0,146.0675048828125,141.91000366210938,142.32000732421875,142.32000732421875,12145290,0.0,0.0
2024-09-11 10:30:00-04:00,142.2899932861328,142.3800048828125,140.72000122070312,142.32000732421875,142.32000732421875,5330858,0.0,0.0
2024-09-11 11:30:00-04:00,142.3249969482422,144.41000366210938,141.85000610351562,144.2050018310547,144.2050018310547,5403351,0.0,0.0
2024-09-11 12:30:00-04:00,144.21499633789062,144.7698974609375,143.4600067138672,144.5850067138672,144.5850067138672,3983190,0.0,0.0
2024-09-11 13:30:00-04:00,144.60000610351562,147.72999572753906,144.4499969482422,147.67999267578125,147.67999267578125,5486766,0.0,0.0
2024-09-11 14:30:00-04:00,147.6699981689453,148.64990234375,147.0301055908203,148.47000122070312,148.47000122070312,6549400,0.0,0.0
2024-09-11 15:30:00-04:00,148.47000122070312,150.16000366210938,148.1699981689453,149.88999938964844,149.88999938964844,6127290,0.0,0.0
2024-09-12 09:30:00-04:00,148.5,150.7100067138672,147.64999389648438,150.6199951171875,150.6199951171875,8165979,0.0,0.0
2024-09-12 10:30:00-04:00,150.63999938964844,151.1645050048828,149.0500030517578,149.2050018310547,149.2050018310547,5232542,0.0,0.0
2024-09-12 11:30:00-04:00,149.19200134277344,149.78900146484375,148.7100067138672,149.6199951171875,149.6199951171875,3058025,0.0,0.0
2024-09-12 12:30:00-04:00,149.6199951171875,150.52999877929688,148.89999389648438,150.19850158691406,150.19850158691406,2527015,0.0,0.0
2024-09-12 13:30:00-04:00,150.21499633789062,151.53579711914062,150.018798828125,151.35499572753906,151.35499572753906,2711247,0.0,0.0
2024-09-12 14:30:00-04:00,151.34500122070312,151.50030517578125,149.6699981689453,150.75,150.75,3111750,0.0,0.0
2024-09-12 15:30:00-04:00,150.76840209960938,150.94500732421875,150.42999267578125,150.82000732421875,150.82000732421875,2722140,0.0,0.0
2024-09-13 09:30:00-04:00,152.5,153.00999450683594,150.88119506835938,151.44500732421875,151.44500732421875,7812520,0.0,0.0
2024-09-13 10:30:00-04:00,151.47000122070312,152.32000732421875,150.86000061035156,151.93499755859375,151.93499755859375,3772970,0.0,0.0
2024-09-13 11:30:00-04:00,151.9199981689453,152.0,150.6999969482422,151.08999633789062,151.08999633789062,2284653,0.0,0.0
2024-09-13 12:30:00-04:00,151.10000610351562,152.61000061035156,151.0601043701172,152.60000610351562,152.60000610351562,2408076,0.0,0.0
2024-09-13 13:30:00-04:00,152.59500122070312,152.7100067138672,151.8209991455078,152.10499572753906,152.10499572753906,2194661,0.0,0.0
2024-09-13 14:30:00-04:00,152.09010314941406,152.6699981689453,151.89100646972656,152.47000122070312,152.47000122070312,2130200,0.0,0.0
2024-09-13 15:30:00-04:00,152.47000122070312,152.88999938964844,152.3000030517578,152.32000732421875,152.32000732421875,2629339,0.0,0.0
2024-09-16 09:30:00-04:00,151.75,154.44000244140625,151.3800048828125,152.71640014648438,152.71640014648438,8451226,0.0,0.0
2024-09-16 10:30:00-04:00,152.2198028564453,153.1300048828125,150.9600067138672,152.4149932861328,152.4149932861328,5423367,0.0,0.0
2024-09-16 11:30:00-04:00,152.39999389648438,152.65049743652344,150.91200256347656,151.58680725097656,151.58680725097656,2991155,0.0,0.0
2024-09-16 12:30:00-04:00,151.60000610351562,152.35000610351562,151.29220581054688,152.00579833984375,152.00579833984375,2355676,0.0,0.0
2024-09-16 13:30:00-04:00,151.99000549316406,152.88999938964844,151.97999572753906,152.6699981689453,152.6699981689453,2080876,0.0,0.0
2024-09-16 14:30:00-04:00,152.66000366210938,152.77000427246094,152.1800994873047,152.44000244140625,152.44000244140625,1889658,0.0,0.0
2024-09-16 15:30:00-04:00,152.42999267578125,152.75999450683594,151.99000549316406,152.0800018310547,152.0800018310547,1992523,0.0,0.0
2024-09-17 09:30:00-04:00,153.25,153.25059509277344,150.9600067138672,152.6649932861328,152.6649932861328,7418248,0.0,0.0
2024-09-17 10:30:00-04:00,152.6699981689453,154.0449981689453,152.20010375976562,153.3300018310547,153.3300018310547,4628209,0.0,0.0
2024-09-17 11:30:00-04:00,153.32000732421875,153.3498992919922,151.6300048828125,152.19500732421875,152.19500732421875,4507371,0.0,0.0
2024-09-17 12:30:00-04:00,152.17999267578125,152.35000610351562,149.8000030517578,150.67990112304688,150.67990112304688,4144933,0.0,0.0
2024-09-17 13:30:00-04:00,150.64999389648438,150.8300018310547,149.22500610351562,150.11000061035156,150.11000061035156,2693475,0.0,0.0
2024-09-17 14:30:00-04:00,150.10000610351562,150.49000549316406,149.6300048828125,149.91879272460938,149.91879272460938,2110088,0.0,0.0
2024-09-17 15:30:00-04:00,149.89999389648438,151.0,149.66000366210938,150.80999755859375,150.80999755859375,2268620,0.0,0.0
