timestamp,raw_score,coverage,p4h,p8h,actual4h,actual8h
2025-12-02T17:00:00+00:00,-0.545488,1.0,0.521334,0.606979,BULLISH,BULLISH
2025-12-03T17:00:00+00:00,0.11887,1.0,0.546601,0.604581,BULLISH,BULLISH
2025-12-04T17:00:00+00:00,0.214194,1.0,0.55021,0.604236,BEARISH,NEUTRAL
2025-12-05T17:00:00+00:00,-0.253716,1.0,0.532452,0.605926,NEUTRAL,
2025-12-08T17:00:00+00:00,-0.071724,1.0,0.539371,0.605269,BULLISH,BULLISH
2025-12-09T17:00:00+00:00,0.204746,1.0,0.549852,0.60427,NEUTRAL,BEARISH
2025-12-10T17:00:00+00:00,0.168264,1.0,0.548472,0.604402,BULLISH,BULLISH
2025-12-11T17:00:00+00:00,-0.24531,1.0,0.532772,0.605896,BULLISH,BULLISH
2025-12-12T17:00:00+00:00,-0.496351,1.0,0.523209,0.606802,BULLISH,
2025-12-15T17:00:00+00:00,0.395659,1.0,0.557065,0.60358,BEARISH,BEARISH
2025-12-16T17:00:00+00:00,0.022746,1.0,0.542957,0.604928,BULLISH,BEARISH
2025-12-17T17:00:00+00:00,-0.382573,1.0,0.527545,0.606391,BEARISH,BEARISH
2025-12-18T17:00:00+00:00,0.266465,1.0,0.552187,0.604047,BEARISH,BEARISH
2025-12-19T17:00:00+00:00,0.384707,1.0,0.556652,0.60362,BULLISH,
2025-12-22T17:00:00+00:00,0.204695,1.0,0.549851,0.60427,BEARISH,NEUTRAL
2025-12-23T17:00:00+00:00,0.411455,1.0,0.557661,0.603523,BULLISH,BULLISH
2025-12-24T17:00:00+00:00,0.167496,1.0,0.548443,0.604405,,
2025-12-26T17:00:00+00:00,0.025964,1.0,0.543079,0.604916,NEUTRAL,
2025-12-29T17:00:00+00:00,-0.031411,1.0,0.540902,0.605124,BULLISH,NEUTRAL
2025-12-30T17:00:00+00:00,0.258419,1.0,0.551882,0.604076,BEARISH,BEARISH
2025-12-31T17:00:00+00:00,0.127799,1.0,0.546939,0.604548,BEARISH,
2026-01-02T17:00:00+00:00,-0.09922,1.0,0.538327,0.605368,BULLISH,
