timestamp,predicted,bullish_probability,bearish_probability,confidence,score,regime,data_coverage,intelligence_coverage,entry_nq,entry_bar_end,entry_staleness_min,nq_4h,nq_8h,move_4h_pct,move_8h_pct,actual_4h,actual_8h,correct_4h,correct_8h,outcome_4h_bar_end,outcome_8h_bar_end,outcome_4h_staleness_min,outcome_8h_staleness_min,news,news_articles,news_kept,news_directional,news_evidence,news_polygon_articles,news_finnhub_articles,liquidity_signal,liquidity_direction,liquidity_conflict,liquidity_resolution,liquidity_contract,liquidity_evidence,earnings,earnings_evidence,earnings_released_events,earnings_released_symbols,earnings_upcoming_events,earnings_upcoming_symbols,earnings_upcoming_within_4h,earnings_upcoming_within_8h,earnings_upcoming_mega_weight,earnings_upcoming_semi_count,earnings_hours_to_next,earnings_catalyst_risk,earnings_future_eps_used,market_available,market_requested
2025-09-17T17:00:00+00:00,BEARISH,43.3,56.7,53.6,-0.137,TRANSITION,0.964,0.467,24389.75,2025-09-17 13:00:00-04:00,0.0,24502.0,24564.5,0.46023431974497486,0.7164895089125555,BULLISH,BULLISH,False,False,2025-09-17 17:00:00-04:00,2025-09-17 21:00:00-04:00,0.0,0.0,0.5325672516234207,616,115,18,available,616,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-18T17:00:00+00:00,BULLISH,65.4,34.6,60.0,0.323,TRANSITION,0.964,0.467,24787.75,2025-09-18 13:00:00-04:00,0.0,24713.75,24710.25,-0.298534558400823,-0.3126544361630241,BEARISH,BEARISH,False,False,2025-09-18 17:00:00-04:00,2025-09-18 21:00:00-04:00,0.0,0.0,0.5383508841211367,658,125,21,available,658,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-19T17:00:00+00:00,BULLISH,55.9,44.1,48.7,0.121,TRANSITION,0.964,0.467,24821.5,2025-09-19 13:00:00-04:00,0.0,24861.0,,0.15913623270148863,,BULLISH,,True,,2025-09-19 17:00:00-04:00,2025-09-19 17:00:00-04:00,0.0,240.0,0.5376897948012282,563,108,20,available,563,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-22T17:00:00+00:00,BULLISH,62.3,37.7,66.8,0.256,TRANSITION,0.964,0.467,24986.75,2025-09-22 13:00:00-04:00,0.0,24996.25,24989.5,0.03802015067986032,0.011005833091538514,NEUTRAL,NEUTRAL,False,False,2025-09-22 17:00:00-04:00,2025-09-22 21:00:00-04:00,0.0,0.0,0.5999999999999999,218,17,3,available,218,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-23T17:00:00+00:00,BULLISH,51.5,48.5,43.8,0.03,BALANCED,0.964,0.467,24928.75,2025-09-23 13:00:00-04:00,0.0,24833.75,24837.75,-0.38108609537180965,-0.365040365040365,BEARISH,BEARISH,False,False,2025-09-23 17:00:00-04:00,2025-09-23 21:00:00-04:00,0.0,0.0,0.6189360042922674,251,25,6,available,251,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-24T17:00:00+00:00,BEARISH,45.1,54.9,52.9,-0.099,BALANCED,0.964,0.467,24685.0,2025-09-24 13:00:00-04:00,0.0,24747.5,24775.75,0.25319019647559243,0.36763216528256026,BULLISH,BULLISH,False,False,2025-09-24 17:00:00-04:00,2025-09-24 21:00:00-04:00,0.0,0.0,0.5616437308779765,391,42,9,available,391,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-25T17:00:00+00:00,BEARISH,44.4,55.6,54.5,-0.114,BALANCED,0.964,0.467,24625.0,2025-09-25 13:00:00-04:00,0.0,24635.5,24626.5,0.04263959390862944,0.006091370558375634,NEUTRAL,NEUTRAL,False,False,2025-09-25 17:00:00-04:00,2025-09-25 21:00:00-04:00,0.0,0.0,0.559605599793026,477,48,8,available,477,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-26T17:00:00+00:00,BULLISH,62.6,37.4,55.2,0.262,TRANSITION,0.964,0.467,24691.0,2025-09-26 13:00:00-04:00,0.0,24726.5,,0.14377708476772913,,BULLISH,,True,,2025-09-26 17:00:00-04:00,2025-09-26 17:00:00-04:00,0.0,240.0,0.5413741974682647,629,66,7,available,629,0,1.0,BULLISH,LOW,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-29T17:00:00+00:00,BULLISH,58.4,41.6,63.2,0.172,TRANSITION,0.964,0.467,24834.75,2025-09-29 13:00:00-04:00,0.0,24811.25,24837.25,-0.0946254743856894,0.010066539828264831,BEARISH,NEUTRAL,False,False,2025-09-29 17:00:00-04:00,2025-09-29 21:00:00-04:00,0.0,0.0,0.13255716427712735,451,76,6,available,451,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-09-30T17:00:00+00:00,BULLISH,52.1,47.9,41.5,0.043,BALANCED,0.964,0.467,24783.25,2025-09-30 13:00:00-04:00,0.0,24838.25,24794.25,0.22192408178911158,0.04438481635782232,BULLISH,NEUTRAL,True,False,2025-09-30 17:00:00-04:00,2025-09-30 21:00:00-04:00,0.0,0.0,0.30867801694237523,583,95,3,available,583,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-01T17:00:00+00:00,BULLISH,57.7,42.3,62.9,0.157,TRANSITION,0.964,0.467,24955.0,2025-10-01 13:00:00-04:00,0.0,25009.25,25060.0,0.21739130434782608,0.42075736325385693,BULLISH,BULLISH,True,True,2025-10-01 17:00:00-04:00,2025-10-01 21:00:00-04:00,0.0,0.0,0.2665630434616699,763,114,5,available,763,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-02T17:00:00+00:00,BULLISH,59.0,41.0,60.2,0.184,TRANSITION,0.964,0.467,25077.25,2025-10-02 13:00:00-04:00,0.0,25105.0,25146.75,0.11065806657428545,0.2771436261950573,BULLISH,BULLISH,True,True,2025-10-02 17:00:00-04:00,2025-10-02 21:00:00-04:00,0.0,0.0,0.4751768328201713,792,125,7,available,792,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-03T17:00:00+00:00,BULLISH,66.1,33.9,68.5,0.341,TRANSITION,0.964,0.467,25118.0,2025-10-03 13:00:00-04:00,0.0,24982.0,,-0.5414443825145314,,BEARISH,,False,,2025-10-03 17:00:00-04:00,2025-10-03 17:00:00-04:00,0.0,240.0,0.5186969836580937,735,120,11,available,735,0,1.0,BULLISH,LOW,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-06T17:00:00+00:00,BULLISH,64.4,35.6,65.8,0.302,TRANSITION,0.964,0.467,25202.25,2025-10-06 13:00:00-04:00,0.0,25184.0,25131.0,-0.07241416936979833,-0.28271285301907567,BEARISH,BEARISH,False,False,2025-10-06 17:00:00-04:00,2025-10-06 21:00:00-04:00,0.0,0.0,0.6,386,68,3,available,386,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-07T17:00:00+00:00,BEARISH,44.2,55.8,53.6,-0.118,BALANCED,0.964,0.467,25024.75,2025-10-07 13:00:00-04:00,0.0,25054.75,25061.5,0.11988131749567928,0.1468546139322071,BULLISH,BULLISH,False,False,2025-10-07 17:00:00-04:00,2025-10-07 21:00:00-04:00,0.0,0.0,0.6,476,76,7,available,476,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-08T17:00:00+00:00,BULLISH,67.9,32.1,65.1,0.383,TREND,0.964,0.467,25251.5,2025-10-08 13:00:00-04:00,0.0,25354.0,25363.0,0.40591648020909643,0.44155792725184645,BULLISH,BULLISH,True,True,2025-10-08 17:00:00-04:00,2025-10-08 21:00:00-04:00,0.0,0.0,0.47314920133189864,620,98,11,available,620,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
2025-10-09T17:00:00+00:00,BEARISH,44.3,55.7,54.9,-0.116,BALANCED,0.964,0.467,25203.75,2025-10-09 13:00:00-04:00,0.0,25287.25,25336.5,0.33129990576799084,0.5267073352179735,BULLISH,BULLISH,False,False,2025-10-09 17:00:00-04:00,2025-10-09 21:00:00-04:00,0.0,0.0,0.466670316784611,684,109,11,available,684,0,0.0,NEUTRAL,NONE,5m_massive_futures,NQZ5,available,,missing,0,,0,,0,0,0,0,,False,False,20,20
